1972_Fijian_general_election,affiliation,National_Federation_Party,"Valid (No expected domain, range matches)","['', {'http://dbpedia.org/ontology/Election', 'http://dbpedia.org/ontology/SocietalEvent', 'http://dbpedia.org/ontology/Event'}, 'http://dbpedia.org/ontology/Organisation', {'http://dbpedia.org/ontology/PoliticalParty', 'http://dbpedia.org/ontology/Organisation', 'http://dbpedia.org/ontology/Agent'}]"
1972_Fijian_general_election,country,Fiji,"Valid (No expected domain, range matches)","['', {'http://dbpedia.org/ontology/Election', 'http://dbpedia.org/ontology/SocietalEvent', 'http://dbpedia.org/ontology/Event'}, 'http://dbpedia.org/ontology/Country', {'http://dbpedia.org/ontology/Country', 'http://dbpedia.org/ontology/Location', 'http://dbpedia.org/ontology/Place', 'http://dbpedia.org/ontology/PopulatedPlace'}]"
1972_Fijian_general_election,firstLeader,Kamisese_Mara,"Valid (No expected domain, range matches)","['', {'http://dbpedia.org/ontology/Election', 'http://dbpedia.org/ontology/SocietalEvent', 'http://dbpedia.org/ontology/Event'}, 'http://dbpedia.org/ontology/Person', {'http://dbpedia.org/ontology/Politician', 'http://dbpedia.org/ontology/Person', 'http://dbpedia.org/ontology/Species', 'http://dbpedia.org/ontology/Eukaryote', 'http://dbpedia.org/ontology/Animal'}]"
1972_Fijian_general_election,secondLeader,Sidiq_Koya,"Valid (No expected domain, range matches)","['', {'http://dbpedia.org/ontology/Election', 'http://dbpedia.org/ontology/SocietalEvent', 'http://dbpedia.org/ontology/Event'}, 'http://dbpedia.org/ontology/Person', {'http://dbpedia.org/ontology/Politician', 'http://dbpedia.org/ontology/Person', 'http://dbpedia.org/ontology/Species', 'http://dbpedia.org/ontology/Eukaryote', 'http://dbpedia.org/ontology/Animal'}]"
1972_Fijian_general_election,startDate,1972-04-29,Valid,"['http://dbpedia.org/ontology/Event', {'http://dbpedia.org/ontology/Election', 'http://dbpedia.org/ontology/SocietalEvent', 'http://dbpedia.org/ontology/Event'}, 'http://www.w3.org/2001/XMLSchema#date', set()]"
Siege_of_Zara_(1813),place,Croatia,"Valid (No expected domain, range matches)","['', {'http://dbpedia.org/ontology/SocietalEvent', 'http://dbpedia.org/ontology/Event', 'http://dbpedia.org/ontology/MilitaryConflict'}, 'http://dbpedia.org/ontology/PopulatedPlace', {'http://dbpedia.org/ontology/Country', 'http://dbpedia.org/ontology/Location', 'http://dbpedia.org/ontology/Place', 'http://dbpedia.org/ontology/PopulatedPlace'}]"
Siege_of_Zara_(1813),place,Illyrian_Provinces,"Valid (No expected domain, range matches)","['', {'http://dbpedia.org/ontology/SocietalEvent', 'http://dbpedia.org/ontology/Event', 'http://dbpedia.org/ontology/MilitaryConflict'}, 'http://dbpedia.org/ontology/PopulatedPlace', {'http://dbpedia.org/ontology/Country', 'http://dbpedia.org/ontology/Location', 'http://dbpedia.org/ontology/Place', 'http://dbpedia.org/ontology/PopulatedPlace'}]"
Siege_of_Zara_(1813),place,First_French_Empire,"Valid (No expected domain, range matches)","['', {'http://dbpedia.org/ontology/SocietalEvent', 'http://dbpedia.org/ontology/Event', 'http://dbpedia.org/ontology/MilitaryConflict'}, 'http://dbpedia.org/ontology/PopulatedPlace', {'http://dbpedia.org/ontology/Country', 'http://dbpedia.org/ontology/Location', 'http://dbpedia.org/ontology/Place', 'http://dbpedia.org/ontology/PopulatedPlace'}]"
Siege_of_Zara_(1813),place,Zadar,"Valid (No expected domain, range matches)","['', {'http://dbpedia.org/ontology/SocietalEvent', 'http://dbpedia.org/ontology/Event', 'http://dbpedia.org/ontology/MilitaryConflict'}, 'http://dbpedia.org/ontology/PopulatedPlace', {'http://dbpedia.org/ontology/Settlement', 'http://dbpedia.org/ontology/City', 'http://dbpedia.org/ontology/Location', 'http://dbpedia.org/ontology/PopulatedPlace', 'http://dbpedia.org/ontology/Place'}]"
Siege_of_Zara_(1813),causalties,Low,Valid,"['http://dbpedia.org/ontology/MilitaryConflict', {'http://dbpedia.org/ontology/SocietalEvent', 'http://dbpedia.org/ontology/Event', 'http://dbpedia.org/ontology/MilitaryConflict'}, 'http://www.w3.org/2001/XMLSchema#string', set()]"
