Entity,Overall validity %,Number of triples,Subject validity %,Number of instances as a subject,Object validity %,Number of instances as a subject
Culture,54,125,0,0,54,125
Art,67,197,0,0,67,197
Comics,73,199,0,0,73,199
Painting,51,212,0,0,51,212
Photography,64,312,0,0,64,312
Sculpture,64,188,0,0,64,188
Pottery,73,103,0,0,73,103
Dance,28,137,0,0,28,137
Fashion,63,164,0,0,63,164
Theatre,56,235,0,0,56,235
Calligraphy,46,56,0,0,46,56
Architecture,70,346,0,0,70,346
Arch,85,20,0,0,85,20
Bridge,93,43,0,0,93,43
Canal,67,9,0,0,67,9
Dam,100,8,0,0,100,8
Dome,100,7,0,0,100,7
House,97,63,0,0,97,63
Angkor_Wat,50,2,0,0,50,2
Colosseum,0,0,0,0,0,0
Great_Wall_of_China,40,5,100,2,0,3
Eiffel_Tower,80,15,80,10,80,5
Empire_State_Building,50,22,64,11,36,11
Hagia_Sophia,80,5,100,3,50,2
Parthenon,78,9,78,9,0,0
Giza_pyramid_complex,100,3,0,0,100,3
St._Peter's_Basilica,7,135,22,18,5,117
Statue_of_Liberty,71,7,100,2,60,5
Taj_Mahal,100,3,100,2,100,1
Three_Gorges_Dam,89,37,88,34,100,3
Pyramid,0,2,0,0,0,2
Tower,100,33,0,0,100,33
Film,70,354,0,0,70,354
Animation,66,202,0,0,66,202
Radio,68,189,0,0,68,189
Television,64,275,0,0,64,275
Music,78,389,0,0,78,389
Song,89,122,0,0,89,122
Blues,95,174,100,25,95,149
Classical_music,75,215,0,0,75,215
Opera,62,138,0,0,62,138
Symphony,84,19,0,0,84,19
Electronic_music,83,160,100,17,81,143
Flamenco,79,85,53,19,86,66
Hip_hop_music,90,173,87,105,96,68
Jazz,82,246,62,37,85,209
Reggae,97,148,96,23,98,125
Rock_music,99,115,98,57,100,58
Samba,98,90,100,14,97,76
Drum,7,59,0,0,7,59
Flute,4,115,0,0,4,115
Guitar,10,165,0,0,10,165
Piano,27,179,0,0,27,179
Trumpet,8,88,0,0,8,88
Violin,10,137,0,0,10,137
Game,83,54,0,0,83,54
Backgammon,100,3,0,0,100,3
Chess,21,58,0,0,21,58
Go_(game),50,4,0,0,50,4
Video_game,65,220,0,0,65,220
Gambling,60,115,0,0,60,115
Martial_arts,22,105,0,0,22,105
Judo,78,9,100,1,75,8
Olympic_Games,31,29,0,0,31,29
Sport,70,211,0,0,70,211
Athletics,0,0,0,0,0,0
Baseball,60,141,100,8,58,133
Basketball,62,108,100,5,60,103
Cricket,70,106,100,7,68,99
Association_football,47,267,100,8,45,259
Golf,79,81,100,6,77,75
Rugby,0,0,0,0,0,0
Tennis,76,87,100,5,74,82
Swimming,40,5,0,0,40,5
Toy,90,115,0,0,90,115
Aristotle,98,128,95,61,100,67
Simone_de_Beauvoir,100,15,0,0,100,15
Chanakya,53,19,53,15,50,4
Confucius,93,15,86,7,100,8
René_Descartes,95,80,94,50,97,30
Sigmund_Freud,95,80,83,24,100,56
Georg_Wilhelm_Friedrich_Hegel,98,99,89,19,100,80
Martin_Heidegger,99,104,96,23,100,81
Ibn_Khaldun,100,15,100,6,100,9
Immanuel_Kant,97,132,92,39,99,93
John_Maynard_Keynes,96,68,90,20,98,48
Laozi,91,11,88,8,100,3
John_Locke,100,41,100,7,100,34
Niccolò_Machiavelli,97,30,94,16,100,14
Karl_Marx,98,115,93,15,99,100
Friedrich_Nietzsche,99,120,98,40,100,80
Plato,100,84,100,16,100,68
Jean-Jacques_Rousseau,98,55,96,24,100,31
Jean-Paul_Sartre,99,82,97,33,100,49
Sima_Qian,69,13,78,9,50,4
Adam_Smith,97,68,94,16,98,52
Socrates,94,33,89,19,100,14
Voltaire,83,46,69,16,90,30
Max_Weber,96,68,100,36,91,32
Ludwig_Wittgenstein,96,74,88,16,98,58
Zhu_Xi,92,13,90,10,100,3
Abraham,91,23,100,5,89,18
Thomas_Aquinas,91,81,79,14,94,67
Augustine_of_Hippo,90,78,62,13,95,65
The_Buddha,100,16,100,7,100,9
Al-Ghazali,88,16,67,6,100,10
Jesus,88,40,100,15,80,25
Martin_Luther,95,22,100,1,95,21
Moses,70,23,60,15,88,8
Muhammad,89,108,100,1,89,107
Nagarjuna,91,22,88,16,100,6
Akbar,98,51,100,17,97,34
Alexander_the_Great,96,55,100,10,96,45
Ashoka,94,31,100,10,90,21
Mustafa_Kemal_Atatürk,92,131,77,13,93,118
Augustus,98,42,92,13,100,29
Otto_von_Bismarck,100,41,0,0,100,41
Simón_Bolívar,89,79,89,9,89,70
Julius_Caesar,53,150,58,19,52,131
Charlemagne,88,43,100,10,85,33
Winston_Churchill,95,194,82,22,97,172
Constantine_the_Great,97,35,100,5,97,30
Cyrus_the_Great,84,37,100,10,78,27
Charles_de_Gaulle,97,104,100,12,97,92
Elizabeth_I,76,38,100,7,71,31
Mahatma_Gandhi,67,131,67,45,67,86
Genghis_Khan,94,35,82,11,100,24
Che_Guevara,92,36,81,16,100,20
Adolf_Hitler,87,230,93,14,87,216
Joan_of_Arc,100,28,100,11,100,17
Martin_Luther_King_Jr.,89,57,92,24,88,33
Vladimir_Lenin,96,135,90,21,96,114
Abraham_Lincoln,95,146,75,12,96,134
Louis_XIV,86,80,100,19,82,61
Rosa_Luxemburg,62,81,78,37,48,44
Napoleon,91,91,100,2,91,89
Nelson_Mandela,95,145,94,17,95,128
Mao_Zedong,95,85,89,18,97,67
Jawaharlal_Nehru,90,122,73,11,92,111
Kwame_Nkrumah,92,130,100,11,92,119
Peter_the_Great,92,52,100,5,91,47
Qin_Shi_Huang,100,13,100,7,100,6
Franklin_D._Roosevelt,94,151,84,19,95,132
Saladin,100,54,100,11,100,43
Joseph_Stalin,97,149,85,20,98,129
Suleiman_the_Magnificent,97,69,100,16,96,53
Sun_Yat-sen,83,42,82,17,84,25
Timur,93,41,100,8,91,33
Umar,94,54,100,18,92,36
George_Washington,92,169,67,12,94,157
Archimedes,78,23,72,18,100,5
Avicenna,86,28,89,18,80,10
Tim_Berners-Lee,79,19,100,9,60,10
Brahmagupta,73,11,73,11,0,0
Nicolaus_Copernicus,83,24,82,11,85,13
Marie_Curie,92,37,89,19,94,18
Charles_Darwin,97,75,94,16,98,59
Thomas_Edison,41,121,72,53,18,68
Albert_Einstein,94,47,85,13,97,34
Euclid,81,16,91,11,60,5
Leonhard_Euler,89,19,86,14,100,5
Michael_Faraday,90,21,89,19,100,2
Enrico_Fermi,93,29,89,9,95,20
Henry_Ford,39,113,76,33,24,80
Galen,56,9,50,6,67,3
Galileo_Galilei,81,36,62,16,95,20
Carl_Friedrich_Gauss,95,43,93,30,100,13
Johannes_Gutenberg,79,29,78,27,100,2
David_Hilbert,95,99,92,62,100,37
James_Prescott_Joule,89,9,86,7,100,2
Johannes_Kepler,76,21,69,13,88,8
Al-Khwarizmi,67,3,0,0,67,3
Gottfried_Wilhelm_Leibniz,99,121,99,89,100,32
Carl_Linnaeus,90,68,67,21,100,47
James_Clerk_Maxwell,88,17,75,8,100,9
Dmitri_Mendeleev,71,7,80,5,50,2
Isaac_Newton,85,54,78,37,100,17
Louis_Pasteur,78,49,80,44,60,5
Max_Planck,94,62,92,50,100,12
Ernest_Rutherford,100,30,0,0,100,30
Erwin_Schrödinger,85,39,82,34,100,5
Nikola_Tesla,75,12,86,7,60,5
Alan_Turing,77,35,75,24,82,11
James_Watt,95,19,94,17,100,2
Le_Corbusier,85,55,61,18,97,37
Salvador_Dalí,91,85,88,25,92,60
Albrecht_Dürer,91,58,76,17,98,41
Vincent_van_Gogh,100,64,100,6,100,58
Francisco_Goya,99,72,93,15,100,57
Hokusai,96,25,100,11,93,14
Frida_Kahlo,97,36,100,12,96,24
Leonardo_da_Vinci,93,68,79,14,96,54
Henri_Matisse,94,68,89,19,96,49
Michelangelo,91,74,100,9,89,65
Pablo_Picasso,96,113,95,42,97,71
Raphael,96,72,94,17,96,55
Rembrandt,93,82,84,25,96,57
Peter_Paul_Rubens,93,75,80,20,98,55
Mimar_Sinan,97,33,95,20,100,13
Diego_Velázquez,97,61,89,9,98,52
Andy_Warhol,68,147,90,10,66,137
Frank_Lloyd_Wright,81,84,68,28,88,56
Louis_Armstrong,15,175,91,23,4,152
Johann_Sebastian_Bach,91,35,0,0,91,35
The_Beatles,66,178,100,22,62,156
Ludwig_van_Beethoven,96,48,0,0,96,48
Johannes_Brahms,100,11,0,0,100,11
Frédéric_Chopin,96,27,0,0,96,27
Antonín_Dvořák,83,6,0,0,83,6
George_Frideric_Handel,61,18,100,6,42,12
Joseph_Haydn,67,3,0,0,67,3
Michael_Jackson,18,493,74,19,16,474
Umm_Kulthum,64,36,73,30,17,6
Gustav_Mahler,38,8,0,0,38,8
Wolfgang_Amadeus_Mozart,94,33,0,0,94,33
Giovanni_Pierluigi_da_Palestrina,100,1,0,0,100,1
Giacomo_Puccini,84,19,0,0,84,19
Franz_Schubert,100,18,0,0,100,18
Igor_Stravinsky,100,7,0,0,100,7
Pyotr_Ilyich_Tchaikovsky,100,28,0,0,100,28
Giuseppe_Verdi,15,26,0,0,15,26
Antonio_Vivaldi,30,47,58,19,11,28
Richard_Wagner,61,31,100,6,52,25
Ingmar_Bergman,88,126,0,0,88,126
Sarah_Bernhardt,64,33,83,23,20,10
Charlie_Chaplin,35,533,64,47,32,486
Marlene_Dietrich,20,119,80,25,4,94
Walt_Disney,22,463,72,29,19,434
Sergei_Eisenstein,62,79,84,31,48,48
Federico_Fellini,48,165,88,17,44,148
Alfred_Hitchcock,41,225,74,27,37,198
Stanley_Kubrick,42,117,76,17,36,100
Akira_Kurosawa,48,221,74,23,45,198
Marilyn_Monroe,37,95,83,29,17,66
Satyajit_Ray,41,437,65,49,37,388
Abu_Nuwas,100,6,100,5,100,1
Hans_Christian_Andersen,92,66,100,11,91,55
Jane_Austen,83,69,62,13,88,56
Matsuo_Bashō,73,11,70,10,100,1
Jorge_Luis_Borges,99,71,100,17,98,54
Lord_Byron,95,40,92,13,96,27
Miguel_de_Cervantes,66,38,64,14,67,24
Geoffrey_Chaucer,72,39,72,25,71,14
Anton_Chekhov,96,109,92,24,98,85
Dante_Alighieri,85,39,81,16,87,23
Charles_Dickens,63,140,100,11,60,129
Fyodor_Dostoevsky,88,65,75,12,91,53
Gabriel_García_Márquez,94,48,88,17,97,31
Johann_Wolfgang_von_Goethe,94,47,85,13,97,34
Hafez,100,10,100,8,100,2
Homer,73,22,80,5,71,17
Victor_Hugo,68,78,89,19,61,59
James_Joyce,84,55,91,11,82,44
Franz_Kafka,57,137,76,17,54,120
Kalidasa,47,17,33,12,80,5
Li_Bai,67,9,62,8,100,1
Naguib_Mahfouz,88,66,64,22,100,44
Molière,87,31,80,15,94,16
Ovid,86,14,80,10,100,4
Marcel_Proust,73,51,78,27,67,24
Alexander_Pushkin,91,53,67,9,95,44
William_Shakespeare,41,387,61,31,40,356
Sophocles,88,25,78,9,94,16
Rabindranath_Tagore,42,219,56,25,40,194
Leo_Tolstoy,80,81,56,9,83,72
Mark_Twain,87,87,87,15,88,72
Virgil,69,16,58,12,100,4
Roald_Amundsen,42,33,43,21,42,12
Neil_Armstrong,80,15,86,7,75,8
Jacques_Cartier,78,23,81,21,50,2
Christopher_Columbus,89,35,81,16,95,19
James_Cook,78,41,74,19,82,22
Hernán_Cortés,93,41,83,12,97,29
Yuri_Gagarin,61,41,70,33,25,8
Vasco_da_Gama,54,35,73,11,46,24
Ibn_Battuta,52,29,57,23,33,6
Ferdinand_Magellan,100,16,100,9,100,7
Marco_Polo,62,29,68,25,25,4
Zheng_He,100,4,0,0,100,4
Agriculture,76,221,0,0,76,221
Irrigation,69,16,0,0,69,16
Plough,100,5,0,0,100,5
Domestication,100,2,0,0,100,2
Food,85,138,0,0,85,138
Bread,99,146,100,4,99,142
Cereal,96,27,0,0,96,27
Barley,96,28,0,0,96,28
Maize,86,78,0,0,86,78
Rice,97,88,0,0,97,88
Sorghum_bicolor,0,0,0,0,0,0
Wheat,97,62,0,0,97,62
Cheese,99,114,0,0,99,114
Chocolate,99,158,0,0,99,158
Honey,100,59,0,0,100,59
Apple,71,66,0,0,71,66
Banana,100,36,0,0,100,36
Citrus,91,23,0,0,91,23
Grape,100,5,0,0,100,5
Nut_(fruit),100,59,0,0,100,59
Soybean,100,40,0,0,100,40
Meat,100,100,0,0,100,100
Sugar,98,137,0,0,98,137
Spice,99,68,0,0,99,68
Salt,86,81,0,0,86,81
Vegetable,100,79,0,0,100,79
Potato,53,106,0,0,53,106
Beer,97,89,0,0,97,89
Coffee,98,123,0,0,98,123
Juice,98,64,0,0,98,64
Milk,100,107,0,0,100,107
Tea,97,91,0,1,98,90
Water,96,107,0,0,96,107
Wine,98,97,100,7,98,90
Geography,43,117,0,0,43,117
City,79,90,0,0,79,90
Continent,0,0,0,0,0,0
Forest,86,22,0,0,86,22
Mountain,98,46,0,0,98,46
Desert,100,7,0,0,100,7
North_Pole,80,10,0,0,80,10
Ocean,96,23,93,15,100,8
River,53,17,0,0,53,17
Sea,95,63,0,0,95,63
South_Pole,78,9,0,0,78,9
Africa,84,197,60,5,84,192
Antarctica,78,258,100,1,78,257
Asia,80,151,60,5,81,146
Europe,72,378,71,17,72,361
Middle_East,84,248,81,52,85,196
North_America,82,208,78,9,82,199
Oceania,92,146,85,34,95,112
South_America,86,146,75,16,88,130
Algeria,87,743,77,31,87,712
Democratic_Republic_of_the_Congo,86,716,79,38,87,678
Egypt,89,940,76,29,89,911
Ethiopia,91,777,77,44,92,733
Nigeria,84,1032,79,43,85,989
South_Africa,79,817,81,64,79,753
Sudan,91,560,76,29,92,531
Tanzania,90,654,76,45,91,609
Afghanistan,86,726,81,37,86,689
Bangladesh,87,897,82,40,88,857
China,84,488,62,39,86,449
India,91,161,74,57,100,104
Indonesia,84,1124,62,47,85,1077
Iran,94,401,85,33,94,368
Iraq,87,810,80,45,87,765
Israel,86,1109,81,27,87,1082
Japan,95,176,68,25,100,151
Pakistan,88,390,68,31,90,359
Philippines,78,676,73,33,78,643
Saudi_Arabia,93,790,83,30,93,760
South_Korea,87,945,79,28,87,917
Thailand,78,1195,75,36,79,1159
Turkey,77,1349,82,39,77,1310
Vietnam,88,834,86,35,88,799
Austria,77,1088,75,32,77,1056
France,95,127,75,24,100,103
Germany,80,559,78,23,80,536
Italy,95,130,74,27,100,103
Netherlands,89,410,0,0,89,410
Poland,88,494,70,27,89,467
Portugal,76,1041,86,28,76,1013
Russia,82,495,72,32,83,463
Spain,87,514,81,37,87,477
Switzerland,78,571,72,43,79,528
Ukraine,83,558,79,29,83,529
United_Kingdom,80,481,86,43,80,438
Vatican_City,91,246,80,25,92,221
Canada,84,439,77,31,84,408
Cuba,83,581,85,26,83,555
Mexico,85,457,76,34,86,423
United_States,96,139,83,36,100,103
Argentina,86,1078,71,38,87,1040
Brazil,94,410,77,35,95,375
Colombia,82,883,78,32,82,851
Australia,84,455,81,26,84,429
Cairo,90,538,88,16,90,522
Cape_Town,85,571,83,24,86,547
Kinshasa,94,361,94,47,95,314
Lagos,83,476,84,45,83,431
Nairobi,85,426,92,24,85,402
Baghdad,90,474,84,19,90,455
Bangkok,85,656,86,22,85,634
Beijing,86,739,78,23,87,716
Damascus,95,427,74,23,96,404
Delhi,88,624,83,23,88,601
Dhaka,87,543,83,23,87,520
Dubai,89,498,75,20,90,478
Hong_Kong,72,990,0,0,72,990
Jakarta,78,634,87,30,78,604
Jerusalem,87,555,89,19,87,536
Karachi,89,635,85,27,90,608
Kolkata,80,676,80,30,80,646
Mecca,91,206,90,20,91,186
Mumbai,78,788,85,27,78,761
Seoul,84,740,82,22,84,718
Shanghai,69,678,86,21,68,657
Singapore,91,964,78,27,91,937
Tehran,86,601,86,21,86,580
Tokyo,91,818,82,22,91,796
Amsterdam,82,734,93,29,82,705
Athens,88,538,85,26,88,512
Berlin,82,850,84,25,82,825
Brussels,67,552,97,39,65,513
Istanbul,72,710,78,23,72,687
London,96,127,81,26,100,101
Madrid,90,692,89,19,90,673
Moscow,81,868,74,31,81,837
Paris,96,113,75,12,99,101
Rome,84,985,86,21,84,964
Saint_Petersburg,81,754,88,24,80,730
Vienna,70,729,89,27,69,702
Los_Angeles,96,141,85,41,100,100
Mexico_City,93,709,92,25,93,684
New_York_City,95,137,81,36,100,101
"Washington,_D.C.",82,844,83,36,82,808
Bogotá,92,551,86,28,92,523
Buenos_Aires,93,686,77,30,94,656
Rio_de_Janeiro,78,583,82,39,78,544
São_Paulo,86,606,79,39,87,567
Sydney,83,798,100,2,83,796
Amazon_River,65,40,75,4,64,36
Arctic_Ocean,79,156,0,0,79,156
Atlantic_Ocean,63,464,0,4,63,460
Baltic_Sea,64,318,91,112,49,206
Black_Sea,48,205,76,21,45,184
Caribbean_Sea,60,361,88,95,50,266
Caspian_Sea,72,86,81,27,68,59
Congo_River,82,33,100,2,81,31
Danube,49,225,50,4,49,221
Ganges,86,51,50,4,89,47
Great_Barrier_Reef,90,10,0,0,90,10
Great_Lakes,85,62,65,17,93,45
Indian_Ocean,50,384,48,33,50,351
Indus_River,53,43,100,1,52,42
Lake_Baikal,85,46,90,29,76,17
Lake_Victoria,73,67,89,37,53,30
Mediterranean_Sea,55,372,71,17,55,355
Mississippi_River,65,195,57,7,65,188
Niger_River,57,35,50,8,59,27
