Category,Valid,Valid because there was no expected domain or range,Valid range but no expected domain,Valid domain but no expected range,Completely valid,Possibly Valid,"Possibly Valid (No expected domain, no actual range to check against)","Possibly Valid (No actual domain to check against, no expected range)","Possibly Valid (No actual domain to check against, range matches)","Possibly Valid (Domain matches, no actual range to check against)","Possibly Valid (No actual domain to check against, no actual range to check against)",Invalid,"Invalid (No expected domain, range does not match)","Invalid (Domain does not match, no expected range)","Invalid (Domain does not match, range matches)","Invalid (Domain matches, range does not match)","Invalid (No actual domain to check against, range does not match)","Invalid (Domain does not match, no actual range to check against)","Invalid (Domain does not match, range does not match)"
arts and recreation,5180,1135,841,2655,549,1680,1212,0,0,468,0,1347,956,91,2,237,0,55,6
biography,10121,1970,1952,686,5513,180,121,0,0,59,0,1625,635,94,24,867,0,0,5
food and agriculture,2417,254,0,2161,2,101,75,0,0,26,0,100,15,23,0,61,0,1,0
geography,52693,4092,13896,3624,31081,578,192,0,0,386,0,10620,3932,70,1841,4161,0,1,615
history,3965,553,1072,526,1814,312,205,0,0,107,0,652,247,91,58,179,0,1,76
language and literature,2544,320,757,1007,460,1071,654,0,0,416,1,868,317,117,0,417,0,11,6
measurements,111,12,0,99,0,60,9,0,0,51,0,0,0,0,0,0,0,0,0
philosophy,770,393,0,377,0,49,46,0,0,3,0,220,97,108,0,15,0,0,0
religion,1468,1072,0,396,0,764,464,0,0,300,0,89,56,31,0,2,0,0,0
science,6413,2027,94,3810,482,383,311,0,0,72,0,2337,433,1649,0,122,0,102,31
social sciences,3440,990,400,1804,246,1236,748,1,0,487,0,1166,583,315,8,220,0,5,35
technology,4469,1060,0,3409,0,509,450,0,0,59,0,624,148,421,0,26,0,26,3
