Property,"anthropology, psychology and everyday life",arts,biology,geography,history,language and literature,mathematics,people,philosophy,physics,religion,society and social sciences,technology
basedOn,0,16,0,0,3,27,0,191,0,0,5,3,0
battery,0,0,0,0,0,0,0,0,0,6,0,0,1
battingSide,0,0,0,0,0,0,0,2,0,0,0,0,0
battle,0,6,1,409,4900,0,0,49,0,1,1,17,2
bbr,0,0,0,0,0,0,0,1,0,0,0,0,0
beatifiedBy,0,0,0,0,0,0,0,150,0,0,13,0,0
beatifiedDate,0,0,0,0,0,0,0,6,0,0,0,0,0
beatifiedPlace,0,57,0,413,50,0,0,6,0,0,0,0,0
beltwayCity,0,0,0,41,0,0,0,0,0,0,0,0,0
billed,0,1,0,763,4,0,0,0,0,1,5,0,1
binomialAuthority,0,0,0,0,0,0,0,51,0,0,0,0,0
bioavailability,0,0,0,0,0,0,0,0,0,1,0,0,0
birthDate,0,0,0,0,0,0,0,1622,0,0,0,0,0
birthName,0,0,0,0,0,0,0,938,0,0,0,0,0
birthPlace,2,147,79,25875,3120,5,0,3155,0,8,22,34,6
birthYear,0,0,0,0,0,0,0,902,0,0,2,0,0
blockAlloy,0,0,0,0,0,0,0,0,0,56,0,0,56
board,1,2,0,9,0,0,1,33,0,0,1,94,18
bodyDiscovered,0,0,0,47,3,0,0,0,0,0,0,0,0
bodyStyle,0,2,0,0,0,0,1,0,0,1,0,0,130
border,0,0,0,13,0,0,0,0,0,0,0,0,0
bowlingSide,0,0,0,0,0,0,0,1,0,0,0,0,0
branchTo,0,0,1,0,0,0,0,0,0,0,0,0,0
breeder,0,0,0,2,0,0,0,7,0,0,0,0,0
bridgeCarries,0,0,0,0,0,0,0,0,0,0,0,0,13
broadcastArea,0,1,0,1295,7,0,0,0,0,2,0,7,56
broadcastNetwork,0,15,0,2,0,0,0,1,0,1,1,281,7
bronzeMedalist,0,0,0,0,0,0,0,32,0,0,0,0,0
budget,0,3,0,0,0,0,0,0,0,0,0,8,0
builder,0,8,1,2369,324,0,0,97,0,0,0,45,22
buildingEndDate,0,14,0,0,0,0,0,0,0,0,0,3,5
buildingStartDate,0,3,0,0,1,0,0,0,0,0,0,0,10
buildingStartYear,0,3,0,0,0,0,0,0,0,0,0,0,6
callSign,0,0,0,0,0,0,0,4,0,0,0,0,1
campus,0,1,1,510,0,2,0,0,0,56,0,59,30
canonizedBy,0,0,0,1,1,0,0,159,0,0,47,0,0
canonizedDate,0,0,0,0,0,0,0,10,0,0,0,0,0
canonizedPlace,0,50,0,173,61,0,0,15,0,0,0,0,0
canton,0,1,1,84,0,0,0,1,0,1,0,0,0
capital,0,11,0,1669,392,0,0,0,0,0,0,12,0
careerPrizeMoney,0,0,0,0,0,0,0,12,0,0,0,0,0
casNumber,0,0,0,0,0,0,0,0,0,4,0,0,0
casualties,0,0,0,0,5,0,0,0,0,0,0,0,0
