Entity,Overall validity %,Number of triples,Subject validity %,Number of instances as a subject,Object validity %,Number of instances as a subject
Dada,70,57,0,0,70,57
Expressionism,76,76,0,0,76,76
Futurism,68,62,0,0,68,62
Impressionism,85,75,0,0,85,75
Kitsch,67,3,0,0,67,3
Neoclassicism,76,216,0,0,76,216
Pre-Raphaelite_Brotherhood,91,44,0,0,91,44
Post-Impressionism,98,54,0,0,98,54
Suprematism,83,6,0,0,83,6
Surrealism,55,132,0,0,55,132
Artistic_symbol,43,68,0,0,43,68
Contemporary_art,74,235,0,0,74,235
Fluxus,83,35,0,0,83,35
Kinetic_art,100,36,0,0,100,36
Land_art,96,24,0,0,96,24
Minimalism,55,98,0,0,55,98
Neo-expressionism,97,37,0,0,97,37
Conceptual_art,90,128,0,0,90,128
Op_art,100,28,0,0,100,28
Outsider_art,93,55,0,0,93,55
Pop_art,93,73,0,0,93,73
Postmodern_art,100,12,0,0,100,12
Transavantgarde,100,4,0,0,100,4
Charcoal,88,8,0,0,88,8
Ink,100,12,0,0,100,12
Paint,98,57,0,0,98,57
Pencil,67,6,0,0,67,6
Pigment,100,10,0,0,100,10
Pen,90,10,0,0,90,10
Design,77,164,0,0,77,164
Graphic_design,72,135,0,0,72,135
Web_design,76,34,0,0,76,34
Body_art,100,12,0,0,100,12
Calligraphy,46,56,0,0,46,56
Comics,73,199,0,0,73,199
Drawing,70,101,0,0,70,101
Environmental_art,96,28,0,0,96,28
Fashion,63,164,0,0,63,164
Handicraft,87,15,0,0,87,15
Painting,51,212,0,0,51,212
Palette,0,0,0,0,0,0
Portrait_miniature,67,24,0,0,67,24
Pottery,73,103,0,0,73,103
Sculpture,64,188,0,0,64,188
Video_art,71,112,0,0,71,112
Collage,86,84,0,0,86,84
Manga,67,162,0,0,67,162
Graffiti,89,121,0,0,89,121
Illustration,72,97,0,0,72,97
Mosaic,81,37,0,0,81,37
Oil_painting,94,64,0,0,94,64
Origami,50,4,0,0,50,4
Watercolor_painting,88,92,0,0,88,92
Film,70,354,0,0,70,354
Movie_theater,94,120,0,0,94,120
Animation,66,202,0,0,66,202
Anime,57,236,0,0,57,236
Computer_animation,61,51,0,0,61,51
Color_motion_picture_film,0,0,0,0,0,0
Short_film,52,40,0,0,52,40
Silent_film,18,83,0,0,18,83
Filmmaking,78,313,0,0,78,313
Cinematography,31,39,0,0,31,39
Film_editing,4,54,0,0,4,54
Foley_(filmmaking),0,11,0,0,0,11
Special_effect,20,65,0,0,20,65
Studio_system,0,1,0,0,0,1
Technicolor,6,34,0,0,6,34
Hindi_cinema,9,118,0,0,9,118
Cannes_Film_Festival,15,27,100,1,12,26
Academy_Awards,93,55,0,1,94,54
The_Blue_Boy,67,3,50,2,100,1
The_Death_of_Socrates,50,2,50,2,0,0
Mona_Lisa,100,5,100,2,100,3
The_Night_Watch,60,5,50,4,100,1
The_Scream,100,5,100,3,100,2
Last_Supper,0,0,0,0,0,0
The_Starry_Night,100,2,100,2,0,0
Guernica,97,39,94,16,100,23
The_Thinker,100,2,100,1,100,1
David_(Michelangelo),100,2,100,2,0,0
Manneken_Pis,0,0,0,0,0,0
The_Little_Mermaid_(statue),75,4,100,3,0,1
Venus_de_Milo,50,2,100,1,0,1
Snow_White,33,3,0,0,33,3
Citizen_Kane,44,27,40,25,100,2
T._E._Lawrence,95,22,91,11,100,11
The_Sound_of_Music,100,6,100,6,0,0
Casablanca,90,324,89,19,90,305
Gone_with_the_Wind,0,0,0,0,0,0
2001:_A_Space_Odyssey,78,18,71,14,100,4
Star_Wars,86,111,0,0,86,111
The_Godfather,59,32,48,23,89,9
Architecture,70,346,0,0,70,346
Sacral_architecture,100,1,0,0,100,1
Architectural_style,100,1,0,0,100,1
Architectural_theory,60,10,0,0,60,10
Byzantine_architecture,100,50,0,0,100,50
