Entity,Overall validity %,Number of triples,Subject validity %,Number of instances as a subject,Object validity %,Number of instances as a subject
Latitude,0,0,0,0,0,0
Longitude,100,1,0,0,100,1
Geoid,100,1,0,0,100,1
Globe,33,6,0,0,33,6
Great_circle,0,0,0,0,0,0
Map_projection,100,1,0,0,100,1
Mercator_projection,100,1,0,0,100,1
Earth_ellipsoid,100,1,0,0,100,1
Scale_(map),0,0,0,0,0,0
Cardinal_direction,0,0,0,0,0,0
North,100,1,0,0,100,1
East,0,1,0,0,0,1
South,67,3,0,0,67,3
West,50,4,0,0,50,4
Antarctic_Circle,0,0,0,0,0,0
Arctic_Circle,50,2,0,0,50,2
Circle_of_latitude,0,0,0,0,0,0
Equator,100,1,0,0,100,1
Meridian_(geography),0,0,0,0,0,0
North_Pole,80,10,0,0,80,10
Prime_meridian,0,0,0,0,0,0
South_Pole,78,9,0,0,78,9
Tropic_of_Cancer,0,0,0,0,0,0
Tropic_of_Capricorn,0,1,0,0,0,1
Continent,0,0,0,0,0,0
Africa,84,197,60,5,84,192
Americas,7,76,0,0,7,76
Antarctica,78,263,100,1,78,262
Asia,80,153,60,5,80,148
Australia_(continent),50,22,64,11,36,11
Eurasia,85,20,75,4,88,16
Europe,72,380,71,17,72,363
North_America,82,211,78,9,82,202
South_America,86,147,75,16,88,131
Arctic_Ocean,78,167,0,0,78,167
Baffin_Bay,96,56,33,3,100,53
Barents_Sea,9,34,100,2,3,32
Beaufort_Sea,45,38,100,7,32,31
Chukchi_Sea,92,25,100,8,88,17
East_Siberian_Sea,86,42,100,6,83,36
Greenland_Sea,97,91,75,12,100,79
Hudson_Bay,89,123,100,13,87,110
Kara_Sea,97,59,100,8,96,51
Laptev_Sea,84,50,100,6,82,44
White_Sea,68,28,83,6,64,22
Atlantic_Ocean,63,477,0,4,63,473
Baltic_Sea,64,331,92,121,48,210
Gulf_of_Bothnia,4,23,0,0,4,23
Bay_of_Biscay,4,68,0,0,4,68
Gulf_of_Guinea,73,62,97,33,45,29
Irish_Sea,57,109,81,16,53,93
Labrador_Sea,96,51,75,4,98,47
North_Sea,61,274,92,49,55,225
Norwegian_Sea,67,24,90,10,50,14
Sargasso_Sea,0,0,0,0,0,0
Black_Sea,48,209,76,25,45,184
Sea_of_Azov,79,38,100,12,69,26
Caribbean_Sea,63,391,90,122,51,269
Gulf_of_Mexico,76,161,100,17,74,144
Gulf_of_St._Lawrence,82,105,86,7,82,98
Mediterranean_Sea,55,378,63,19,55,359
Adriatic_Sea,67,247,90,52,61,195
Aegean_Sea,57,174,93,43,45,131
Ionian_Sea,68,120,86,29,63,91
Ligurian_Sea,0,31,0,0,0,31
Sea_of_Marmara,80,50,88,26,71,24
Tyrrhenian_Sea,77,111,100,9,75,102
Indian_Ocean,51,403,41,41,52,362
Andaman_Sea,66,32,100,9,52,23
Arabian_Sea,43,217,87,31,36,186
Bay_of_Bengal,70,144,100,12,67,132
Persian_Gulf,64,127,100,15,59,112
Red_Sea,69,84,50,10,72,74
Timor_Sea,80,44,100,17,67,27
Pacific_Ocean,57,426,67,6,57,420
Arafura_Sea,66,38,75,12,62,26
Bering_Sea,4,54,0,0,4,54
Celebes_Sea,87,23,94,16,71,7
Coral_Sea,92,120,100,20,90,100
East_China_Sea,1,67,0,0,1,67
Flores_Sea,88,8,100,2,83,6
Gulf_of_Alaska,85,20,93,14,67,6
Gulf_of_California,84,83,100,13,81,70
Gulf_of_Carpentaria,3,39,0,0,3,39
Gulf_of_Thailand,72,29,100,11,56,18
Java_Sea,72,82,91,32,60,50
Molucca_Sea,92,12,100,11,0,1
Philippine_Sea,79,81,76,51,83,30
Sea_of_Japan,0,105,0,0,0,105
Sea_of_Okhotsk,91,85,100,8,90,77
Solomon_Sea,100,17,100,8,100,9
South_China_Sea,73,227,99,83,58,144
Sulu_Sea,98,51,100,35,94,16
Tasman_Sea,49,247,94,17,46,230
Yellow_Sea,56,48,100,14,38,34
Southern_Ocean,52,90,0,0,52,90
Amundsen_Sea,0,3,0,0,0,3
Great_Australian_Bight,86,50,30,10,100,40
Ross_Sea,75,12,60,5,86,7
Scotia_Sea,100,6,100,5,100,1
Weddell_Sea,6,16,100,1,0,15
Bab-el-Mandeb,72,18,92,12,33,6
Bass_Strait,93,108,100,5,92,103
Bering_Strait,50,6,0,0,50,6
Bosporus,53,19,100,5,36,14
Cook_Strait,40,20,100,2,33,18
Davis_Strait,0,36,0,0,0,36
Denmark_Strait,0,8,0,0,0,8
Dardanelles,31,26,100,5,14,21
Strait_of_Dover,82,49,100,5,80,44
Drake_Passage,50,2,0,0,50,2
English_Channel,50,220,85,26,45,194
Straits_of_Florida,100,4,100,2,100,2
Strait_of_Gibraltar,48,31,100,6,36,25
Strait_of_Hormuz,64,22,100,12,20,10
Hudson_Strait,0,52,0,0,0,52
Kattegat,89,35,100,4,87,31
Korea_Strait,9,11,0,0,9,11
Strait_of_Magellan,82,11,100,4,71,7
Strait_of_Malacca,80,88,100,7,78,81
Mozambique_Channel,73,30,100,8,64,22
Strait_of_Otranto,43,7,100,3,0,4
Palk_Strait,92,13,100,7,83,6
Skagerrak,54,26,100,9,29,17
Sunda_Strait,71,17,100,6,55,11
Taiwan_Strait,36,53,67,6,32,47
Torres_Strait,79,19,100,6,69,13
Tsugaru_Strait,100,3,100,2,100,1
Yucatán_Channel,100,2,100,2,0,0
Øresund,70,27,100,6,62,21
Congo_River,83,36,100,2,82,34
Kasai_River,55,11,75,4,43,7
Ubangi_River,78,9,100,2,71,7
Limpopo_River,29,45,56,9,22,36
Niger_River,56,39,40,10,62,29
Benue_River,53,15,67,9,33,6
Nile,61,44,56,9,63,35
Blue_Nile,77,30,69,13,82,17
White_Nile,68,25,0,0,68,25
Orange_River,30,23,17,6,35,17
Senegal_River,60,20,67,9,55,11
Zambezi,70,37,60,10,74,27
Colorado_River,55,99,50,6,55,93
Columbia_River,70,142,60,5,71,137
Mackenzie_River,51,39,33,3,53,36
Mississippi_River,65,199,62,8,65,191
Missouri_River,79,149,60,10,80,139
Ohio_River,71,216,75,8,71,208
Rio_Grande,66,91,100,1,66,90
St._Lawrence_River,84,192,55,11,86,181
Yukon_River,71,45,38,8,78,37
Amazon_River,67,42,75,4,66,38
Madeira_River,55,22,67,6,50,16
Rio_Negro_(Amazon),41,29,62,8,33,21
Tocantins_River,47,32,57,7,44,25
Magdalena_River,38,40,70,10,27,30
Orinoco,28,29,29,7,27,22
Paraná_River,56,72,50,12,57,60
Uruguay_River,50,66,56,9,49,57
São_Francisco_River,76,45,67,6,77,39
Yangtze,74,100,38,8,77,92
Yellow_River,59,46,56,9,59,37
Mekong,50,48,40,5,51,43
Lena_(river),80,69,33,12,89,57
Yenisey,62,45,38,8,68,37
Angara,65,26,75,8,61,18
Ob,94,54,80,5,96,49
Irtysh,80,30,75,8,82,22
Indus_River,55,44,100,2,52,42
Brahmaputra_River,68,40,50,4,69,36
Amur,81,32,56,9,91,23
Songhua_River,56,16,75,8,38,8
Euphrates,52,58,67,9,49,49
Amu_Darya,48,31,50,8,48,23
Ganges,87,54,60,5,90,49
Yamuna,54,24,38,8,62,16
Salween_River,46,24,62,8,38,16
Ural_(river),100,15,100,3,100,12
Syr_Darya,54,35,67,9,50,26
Irrawaddy_River,50,30,70,10,40,20
Kolyma_(river),81,31,67,6,84,25
Pearl_River,76,37,67,6,77,31
Tigris,43,42,67,9,36,33
Indigirka,100,19,100,3,100,16
Godavari_River,55,49,70,10,51,39
Krishna_River,42,36,62,8,36,28
Liao_River,71,7,50,2,80,5
Volga,75,79,75,4,75,75
Danube,49,227,50,6,49,221
Dnieper,61,83,75,4,61,79
Don_(river),69,42,75,4,68,38
Pechora_(river),74,19,55,11,100,8
Northern_Dvina,79,19,50,4,87,15
Rhine,30,161,83,6,28,155
Elbe,19,125,83,6,16,119
Vistula,31,100,29,14,31,86
Tagus,50,48,64,11,46,37
Daugava,88,32,64,11,100,21
Loire,32,74,67,6,29,68
Oder,26,68,25,8,27,60
Murray_River,79,34,67,3,81,31
African_Great_Lakes,96,25,100,20,80,5
Lake_Victoria,75,75,89,45,53,30
Lake_Tanganyika,69,42,100,23,32,19
Lake_Malawi,88,26,94,18,75,8
Lake_Turkana,71,35,76,29,50,6
Lake_Albert_(Africa),93,27,91,23,100,4
Lake_Mweru,91,22,91,22,0,0
Lake_Chad,78,40,94,31,22,9
Great_Lakes,88,65,71,17,94,48
Lake_Superior,57,205,89,38,49,167
Lake_Michigan,73,135,88,26,70,109
Lake_Huron,75,118,89,35,70,83
Lake_Erie,66,67,100,2,65,65
Lake_Ontario,89,84,100,3,89,81
Great_Bear_Lake,77,13,80,5,75,8
Great_Slave_Lake,69,39,85,27,33,12
Lake_Winnipeg,80,10,0,0,80,10
Lake_Nicaragua,78,27,80,25,50,2
Lake_Maracaibo,73,22,92,13,44,9
Lake_Titicaca,71,21,100,8,54,13
Lake_Vostok,85,13,83,12,100,1
Caspian_Sea,73,90,83,30,68,60
Lake_Baikal,85,48,90,31,76,17
Lake_Balkhash,22,18,100,1,18,17
Issyk-Kul,84,31,77,22,100,9
Lake_Urmia,71,34,88,26,12,8
Lake_Van,88,26,91,23,67,3
Qinghai_Lake,93,14,100,10,75,4
Poyang_Lake,25,4,0,0,25,4
Aral_Sea,90,20,100,18,0,2
Dead_Sea,86,21,100,14,57,7
Lake_Ladoga,73,37,100,16,52,21
Lake_Onega,90,29,100,19,70,10
Vänern,73,22,64,14,88,8
Saimaa,91,11,91,11,0,0
Lake_Peipus,78,37,95,21,56,16
Lake_Eyre,71,7,0,0,71,7
Erie_Canal,60,20,40,5,67,15
Panama_Canal,79,14,100,5,67,9
Suez_Canal,44,34,0,0,44,34
Canary_Islands,92,343,0,0,92,343
Mascarene_Islands,83,6,100,3,67,3
Zanzibar_Archipelago,81,36,0,0,81,36
Greater_Antilles,90,31,84,19,100,12
Hispaniola,89,27,89,9,89,18
Lesser_Antilles,93,69,91,32,95,37
Greenland,14,400,0,0,14,400
Arctic_Archipelago,97,62,50,4,100,58
Queen_Elizabeth_Islands,98,54,0,0,98,54
Ellesmere_Island,96,27,88,8,100,19
Banks_Island,91,11,89,9,100,2
Baffin_Island,96,51,71,7,100,44
Victoria_Island,84,19,71,7,92,12
Axel_Heiberg_Island,93,14,91,11,100,3
Melville_Island_(Northwest_Territories_and_Nunavut),100,3,100,1,100,2
Southampton_Island,92,13,86,7,100,6
Prince_of_Wales_Island_(Nunavut),60,5,60,5,0,0
Newfoundland_(island),97,115,75,4,97,111
Vancouver_Island,97,157,0,0,97,157
Easter_Island,88,51,82,22,93,29
Galápagos_Islands,94,67,83,6,95,61
Tierra_del_Fuego,97,30,100,4,96,26
Marajó,94,17,89,9,100,8
Falkland_Islands,10,140,0,0,10,140
Malay_Archipelago,78,27,0,0,78,27
Maluku_Islands,96,116,90,10,96,106
Luzon,97,172,89,9,97,163
Mindanao,97,147,88,8,97,139
Sunda_Islands,50,4,0,0,50,4
Borneo,97,132,86,7,98,125
Sumatra,98,209,89,9,98,200
Sulawesi,97,159,88,8,97,151
Java,97,244,89,9,97,235
Lesser_Sunda_Islands,99,92,100,7,99,85
Timor,86,22,86,7,87,15
Honshu,97,146,83,6,97,140
Hokkaido,78,383,92,13,78,370
Sakhalin,85,33,86,7,85,26
Kyushu,95,161,86,7,95,154
Severnaya_Zemlya,96,23,67,3,100,20
New_Siberian_Islands,94,17,89,9,100,8
Shikoku,93,87,88,8,94,79
Geography_of_Taiwan,33,15,0,0,33,15
British_Isles,90,60,60,5,93,55
Great_Britain,60,414,71,7,60,407
Ireland,61,843,75,8,61,835
Novaya_Zemlya,95,20,83,6,100,14
Spitsbergen,99,70,86,7,100,63
Sicily,83,452,88,16,83,436
Sardinia,89,307,82,11,89,296
Franz_Josef_Land,98,48,86,7,100,41
Corsica,88,209,94,16,88,193
Zealand,89,75,67,6,91,69
Hawaiian_Islands,39,38,100,2,36,36
New_Britain,97,62,88,8,98,54
New_Guinea,84,91,89,9,83,82
North_Island,93,181,83,6,93,175
South_Island,96,169,75,4,97,165
Tasmania,10,461,0,0,10,461
Alexander_Island,96,46,86,7,97,39
Horn_of_Africa,4,26,0,0,4,26
Baja_California_peninsula,83,6,80,5,100,1
Alaska_Peninsula,0,33,0,0,0,33
Labrador_Peninsula,100,2,0,0,100,2
Yucatán_Peninsula,92,12,100,2,90,10
Indian_subcontinent,67,173,82,11,66,162
Arabian_Peninsula,93,119,67,3,94,116
Mainland_Southeast_Asia,84,25,100,1,83,24
Korean_Peninsula,0,50,0,0,0,50
Malay_Peninsula,7,46,100,1,4,45
Chukchi_Peninsula,0,5,0,0,0,5
Kamchatka_Peninsula,97,69,80,5,98,64
Sinai_Peninsula,94,47,75,4,95,43
Taymyr_Peninsula,80,10,71,7,100,3
Balkans,86,140,100,3,86,137
Crimea,93,269,60,5,93,264
Iberian_Peninsula,91,78,57,7,94,71
Italian_Peninsula,0,16,0,0,0,16
Jutland,0,71,0,0,0,71
Kola_Peninsula,95,22,86,7,100,15
Scandinavian_Peninsula,67,6,67,6,0,0
Cape_York_Peninsula,2,58,0,0,2,58
Antarctic_Peninsula,23,57,0,0,23,57
Atlas_Mountains,84,25,75,8,88,17
Drakensberg,93,27,100,5,91,22
Ethiopian_Highlands,80,5,100,2,67,3
Great_Rift_Valley,0,1,0,0,0,1
American_Cordillera,0,3,0,2,0,1
Adirondack_Mountains,92,71,100,4,91,67
Appalachian_Mountains,97,79,86,7,99,72
Black_Hills,87,23,100,4,84,19
Bryce_Canyon_National_Park,44,25,100,7,22,18
Canadian_Shield,45,11,0,0,45,11
Grand_Canyon,7,45,0,0,7,45
Great_Plains,12,16,0,0,12,16
Columbia_Plateau,0,6,0,0,0,6
Pacific_Coast_Ranges,97,60,100,8,96,52
Sierra_Nevada,92,118,100,6,92,112
Rocky_Mountains,97,120,100,9,96,111
Andes,93,137,80,15,94,122
Altiplano,84,19,91,11,75,8
Brazilian_Highlands,0,3,0,0,0,3
Guiana_Shield,44,9,100,2,29,7
Iranian_plateau,0,2,0,0,0,2
Zagros_Mountains,87,39,100,10,83,29
Hindu_Kush,95,38,100,5,94,33
Tian_Shan,97,38,100,8,97,30
Alborz,60,20,0,0,60,20
Turan_Depression,0,1,0,0,0,1
North_China_Plain,0,8,0,0,0,8
Tibetan_Plateau,93,27,96,23,75,4
Kunlun_Mountains,88,16,75,8,100,8
Yunnan–Guizhou_Plateau,0,1,0,0,0,1
Mongolian_Plateau,0,3,0,0,0,3
West_Siberian_Plain,0,52,0,0,0,52
Central_Siberian_Plateau,17,12,0,0,17,12
Altai_Mountains,0,30,0,0,0,30
Sayan_Mountains,81,16,100,3,77,13
Verkhoyansk_Range,100,20,100,7,100,13
Sikhote-Alin,90,10,80,5,100,5
Deccan_Plateau,92,25,67,3,95,22
Himalayas,92,107,77,13,94,94
Karakoram,100,93,100,9,100,84
Indo-Gangetic_Plain,92,13,80,5,100,8
Western_Ghats,97,65,88,8,98,57
Caucasus_Mountains,98,57,100,9,98,48
Pontic_Mountains,83,6,100,3,67,3
Taurus_Mountains,88,17,0,0,88,17
Najd,97,38,100,2,97,36
Alps,96,114,100,16,95,98
Apennine_Mountains,85,59,0,0,85,59
Balkan_Mountains,81,21,0,0,81,21
Carpathian_Mountains,69,26,0,1,72,25
East_European_Plain,0,4,0,0,0,4
North_European_Plain,100,1,0,0,100,1
Pyrenees,93,101,100,8,92,93
Scandinavian_Mountains,21,19,50,6,8,13
Ural_Mountains,96,27,100,5,95,22
Great_Dividing_Range,100,74,100,8,100,66
Southern_Alps,100,62,100,5,100,57
Transantarctic_Mountains,94,16,75,4,100,12
Aconcagua,87,15,100,8,71,7
Denali,88,16,92,12,75,4
Mount_Fuji,80,10,100,6,50,4
K2,100,34,100,8,100,26
Mauna_Loa,33,3,0,1,50,2
Mount_Elbrus,100,6,100,1,100,5
Mount_Etna,100,9,100,8,100,1
Mount_Everest,97,71,100,2,97,69
Mount_Kenya,100,10,100,8,100,2
Mount_Kilimanjaro,87,23,100,1,86,22
Mount_Kosciuszko,87,15,90,10,80,5
Mount_Logan,89,9,83,6,100,3
Mount_Olympus,62,13,73,11,0,2
Mount_Parnassus,100,6,100,6,0,0
Mount_St._Helens,100,14,100,8,100,6
Mount_Vesuvius,67,9,100,6,0,3
Vinson_Massif,100,11,100,6,100,5
Chile_Ridge,0,0,0,0,0,0
East_Pacific_Rise,0,0,0,0,0,0
Mid-Atlantic_Ridge,17,6,0,0,17,6
Pacific-Antarctic_Ridge,0,0,0,0,0,0
Central_Indian_Ridge,0,0,0,0,0,0
Southwest_Indian_Ridge,0,0,0,0,0,0
Mariana_Trench,100,4,100,3,100,1
Gobi_Desert,0,5,0,0,0,5
Sahara,6,18,0,0,6,18
Arabian_Desert,0,0,0,0,0,0
Kalahari_Desert,0,4,0,0,0,4
Negev,5,21,0,0,5,21
Taklamakan_Desert,0,2,0,0,0,2
Great_Victoria_Desert,0,0,0,0,0,0
Atacama_Desert,72,18,0,0,72,18
Patagonian_Desert,50,2,0,0,50,2
Great_Basin_Desert,0,3,0,0,0,3
Great_Barrier_Reef,90,10,0,0,90,10
Iguazu_Falls,0,0,0,0,0,0
Niagara_Falls,17,23,0,0,17,23
World_Heritage_Site,86,7,100,2,80,5
Aïr_Mountains,91,11,100,6,80,5
Tassili_n'Ajjer,83,6,100,3,67,3
Selous_Game_Reserve,100,4,100,2,100,2
Salonga_National_Park,67,3,100,2,0,1
Manovo-Gounda_St._Floris_National_Park,100,3,100,3,0,0
Serengeti_National_Park,71,7,100,4,33,3
Okapi_Wildlife_Reserve,100,4,100,4,0,0
Banc_d'Arguin_National_Park,86,7,100,6,0,1
Comoé_National_Park,100,4,100,4,0,0
Ngorongoro_Conservation_Area,67,3,0,0,67,3
Sundarbans_National_Park,100,6,100,6,0,0
Kaziranga_National_Park,100,5,100,3,100,2
Lorentz_National_Park,100,4,100,4,0,0
Tropical_Rainforest_Heritage_of_Sumatra,0,0,0,0,0,0
Białowieża_Forest,100,7,100,7,0,0
Virgin_Komi_Forests,0,0,0,0,0,0
Giant's_Causeway,40,5,50,2,33,3
Yellowstone_National_Park,81,121,100,11,79,110
Redwood_National_and_State_Parks,100,7,100,5,100,2
Chaco_Culture_National_Historical_Park,100,6,100,2,100,4
Mesa_Verde_National_Park,88,8,100,4,75,4
Yosemite_National_Park,95,112,88,8,95,104
Olympic_National_Park,95,56,100,9,94,47
Everglades_National_Park,92,13,100,8,80,5
_Tatshenshini-Alsek,0,0,0,0,0,0
La_Amistad_International_Park,100,3,100,3,0,0
Sian_Kaʼan_Biosphere_Reserve,100,4,100,4,0,0
Great_Smoky_Mountains_National_Park,92,24,100,13,82,11
Papahānaumokuākea_Marine_National_Monument,89,9,100,7,50,2
Te_Wahipounamu,0,0,0,0,0,0
Serra_do_Mar,100,2,0,0,100,2
Jaú_National_Park,100,3,100,3,0,0
Northeast_Greenland_National_Park,95,19,75,4,100,15
Great_Limpopo_Transfrontier_Park,0,0,0,0,0,0
Central_Kalahari_Game_Reserve,0,0,0,0,0,0
Wood_Buffalo_National_Park,78,9,67,6,100,3
Gates_of_the_Arctic_National_Park_and_Preserve,100,6,100,3,100,3
Tumucumaque_Mountains_National_Park,100,7,100,7,0,0
Abu_Dhabi,95,311,88,16,96,295
Ahmedabad,91,372,83,23,92,349
Almaty,93,320,86,21,94,299
Amman,93,341,86,14,93,327
Ankara,82,431,85,20,82,411
Ashgabat,94,235,83,12,95,223
Baghdad,90,474,84,19,90,455
Baku,89,470,89,19,89,451
Bengaluru,81,639,87,23,81,616
Bangkok,85,657,87,23,85,634
Beijing,86,740,79,24,87,716
Beirut,87,440,88,17,87,423
Bishkek,95,252,93,15,95,237
Busan,89,304,80,10,90,294
Chengdu,88,354,80,25,89,329
Chennai,77,734,85,20,76,714
Chongqing,74,372,89,18,73,354
Colombo,90,463,82,22,91,441
Damascus,95,428,74,23,96,405
Delhi,88,625,83,23,88,602
Dhaka,87,543,83,23,87,520
Dili,97,191,89,9,97,182
Doha,97,221,88,8,98,213
Dubai,89,500,76,21,90,479
Dushanbe,92,225,89,18,93,207
Isfahan,90,262,88,17,90,245
Gaza_City,96,170,67,9,98,161
Guangzhou,85,479,81,27,86,452
Hanoi,93,422,89,27,93,395
Ho_Chi_Minh_City,91,443,84,25,91,418
Hong_Kong,72,990,0,0,72,990
Hyderabad,83,556,83,29,83,527
Islamabad,95,407,79,24,96,383
Istanbul,72,711,78,23,72,688
İzmir,66,364,78,18,66,346
Jaipur,88,349,88,17,88,332
Jakarta,78,636,87,31,78,605
Jeddah,90,249,81,16,91,233
Jerusalem,87,555,89,19,87,536
Kabul,94,376,75,16,94,360
Karachi,89,635,85,27,90,608
Kathmandu,89,394,79,19,89,375
Kolkata,80,677,80,30,80,647
Kuala_Lumpur,92,563,73,26,93,537
Kuwait_City,92,202,82,11,93,191
Kyoto,92,334,87,15,92,319
Lahore,84,591,88,34,84,557
Lhasa_(city),82,55,73,15,85,40
Manama,94,206,85,13,95,193
Manila,72,593,80,30,71,563
Mecca,91,206,90,20,91,186
"Moroni,_Comoros",94,50,90,10,95,40
Mumbai,78,788,85,27,78,761
Muscat,90,200,77,13,90,187
Nagoya,89,279,86,14,89,265
Nanjing,91,363,85,20,92,343
Naypyidaw,97,147,82,17,99,130
New_Delhi,68,567,89,27,67,540
Nicosia,85,384,92,25,85,359
Astana,96,253,85,20,97,233
Osaka,90,448,88,17,90,431
Phnom_Penh,93,357,81,21,94,336
Pyongyang,96,340,91,35,96,305
Pune,84,506,93,14,84,492
Ramallah,96,146,75,8,97,138
Riyadh,94,400,90,21,94,379
Samarkand,96,151,92,12,96,139
Sanaa,98,185,82,11,99,174
Sapporo,85,220,91,11,84,209
Seoul,84,740,82,22,84,718
Shanghai,69,678,86,21,68,657
Shenzhen,91,304,87,23,92,281
Singapore,91,964,78,27,91,937
Surabaya,90,343,79,28,91,315
Surat,90,212,83,18,91,194
Taipei,91,407,0,0,91,407
Tashkent,91,370,83,24,92,346
Tbilisi,90,440,76,21,91,419
Tehran,86,601,86,21,86,580
Tel_Aviv,81,526,77,31,81,495
Thimphu,88,139,88,16,89,123
Tianjin,89,413,83,24,89,389
Tokyo,91,820,83,24,91,796
Ulaanbaatar,96,319,75,20,97,299
Vientiane,95,152,92,12,95,140
Vladivostok,94,171,100,3,93,168
Wuhan,88,384,77,22,89,362
Xi'an,91,260,77,22,92,238
Yangon,96,504,88,17,96,487
Yerevan,92,422,89,18,93,404
Yokohama,92,342,83,12,92,330
Abuja,93,353,83,23,94,330
Accra,88,403,91,34,88,369
Addis_Ababa,94,368,89,19,94,349
Alexandria,95,310,88,17,95,293
Algiers,88,354,87,23,88,331
Antananarivo,96,182,93,15,96,167
Bamako,95,187,89,18,95,169
Bissau,95,107,90,10,96,97
Brazzaville,93,153,88,16,94,137
Bujumbura,97,168,90,10,97,158
Cairo,90,538,88,16,90,522
Cape_Town,85,571,83,24,86,547
Casablanca,90,325,89,19,90,306
Conakry,98,158,90,10,99,148
Dakar,91,258,86,22,91,236
Dar_es_Salaam,92,323,94,18,91,305
Durban,86,382,84,19,86,363
Gaborone,93,191,84,19,94,172
Harare,91,374,88,17,91,357
Johannesburg,86,534,83,23,86,511
Kampala,87,433,76,17,88,416
Khartoum,95,279,88,16,95,263
Kinshasa,94,361,94,47,95,314
Lagos,83,476,84,45,83,431
Libreville,97,150,90,10,98,140
Lilongwe,96,136,85,13,97,123
Lomé,97,128,76,17,100,111
Luanda,93,260,86,14,94,246
Lusaka,96,288,88,17,96,271
Malabo,97,118,92,13,97,105
Malé,96,252,75,16,97,236
Maputo,94,163,94,17,95,146
Maseru,96,100,83,12,98,88
Mbabane,98,49,91,11,100,38
Mogadishu,97,332,87,15,97,317
Monrovia,93,230,88,16,93,214
Nairobi,85,428,92,24,85,404
N'Djamena,94,135,82,17,96,118
Niamey,97,154,80,15,99,139
Nouakchott,98,133,91,23,99,110
Ouagadougou,97,148,87,15,98,133
Port_Louis,95,146,88,16,96,130
Porto-Novo,97,90,82,11,99,79
Praia,95,153,75,8,96,145
Pretoria,83,533,88,24,83,509
Rabat,92,270,81,16,93,254
São_Tomé,92,78,92,12,92,66
"Tripoli,_Libya",96,264,88,16,96,248
Tunis,92,329,88,25,92,304
"Victoria,_Seychelles",96,67,80,10,98,57
Windhoek,92,305,86,14,92,291
Yaoundé,96,175,90,10,96,165
Asunción,96,339,85,27,97,312
Bogotá,92,551,86,28,92,523
Brasília,93,286,86,21,94,265
Buenos_Aires,93,687,77,31,94,656
Caracas,91,397,81,26,92,371
Curitiba,88,244,73,33,91,211
"Georgetown,_Guyana",96,199,91,11,96,188
La_Paz,88,252,92,24,87,228
Lima,89,567,82,28,90,539
Montevideo,93,473,82,22,93,451
Paramaribo,94,214,90,10,95,204
Quito,95,288,86,21,96,267
Recife,89,195,75,32,92,163
Rio_de_Janeiro,78,583,82,39,78,544
Santiago,93,503,88,25,93,478
São_Paulo,86,606,79,39,87,567
Sucre,98,103,95,19,99,84
Valparaíso,91,217,88,17,92,200
Atlanta,69,786,81,37,69,749
Boston,77,909,80,56,77,853
Chicago,96,188,82,38,100,150
Dallas,81,688,86,36,81,652
Denver,83,574,81,36,83,538
Detroit,80,719,76,46,81,673
Houston,85,753,84,37,85,716
Los_Angeles,96,142,85,41,100,101
Las_Vegas,80,599,78,40,80,559
Miami,79,710,80,41,78,669
Montreal,85,806,95,39,84,767
New_Orleans,82,705,77,35,82,670
New_York_City,95,137,81,36,100,101
Ottawa,87,660,76,29,87,631
Philadelphia,71,1002,81,43,70,959
"Phoenix,_Arizona",87,526,82,40,87,486
St._Louis,85,699,83,58,85,641
San_Francisco,83,860,87,55,83,805
Seattle,82,867,80,44,82,823
Toronto,82,794,85,26,82,768
Vancouver,87,670,81,32,87,638
"Washington,_D.C.",82,845,84,37,82,808
Bridgetown,97,133,91,11,98,122
Castries,95,105,88,16,97,89
Guadalajara,90,328,84,25,91,303
Guatemala_City,94,281,88,17,95,264
Havana,89,441,91,23,89,418
"Kingston,_Jamaica",86,312,90,20,86,292
Kingstown,99,69,100,9,98,60
Managua,94,209,87,15,94,194
Mexico_City,93,710,92,26,93,684
Monterrey,88,348,74,39,90,309
"Nassau,_The_Bahamas",98,242,91,11,98,231
Panama_City,95,268,83,18,96,250
Port-au-Prince,96,264,85,26,97,238
Port_of_Spain,91,238,88,16,91,222
Roseau,99,82,90,10,100,72
"San_Juan,_Puerto_Rico",91,420,90,51,91,369
"San_José,_Costa_Rica",95,242,84,19,96,223
San_Salvador,93,250,82,28,95,222
Santo_Domingo,84,371,86,21,84,350
"St._George's,_Grenada",100,84,100,7,100,77
"St._John's,_Antigua_and_Barbuda",94,100,73,15,98,85
Tegucigalpa,94,197,79,24,96,173
Bratislava,91,401,86,28,92,373
Budapest,79,643,91,53,78,590
Lisbon,88,532,82,28,88,504
Ljubljana,86,348,81,27,87,321
Prague,83,668,84,25,83,643
Valletta,91,232,92,26,91,206
Amsterdam,82,734,93,29,82,705
City_of_Brussels,76,199,0,0,76,199
The_Hague,89,422,90,30,89,392
Copenhagen,89,636,84,37,89,599
Helsinki,86,633,91,23,86,610
Oslo,86,649,96,26,85,623
Reykjavík,93,367,85,20,94,347
Stockholm,85,749,86,22,85,727
Athens,88,541,85,27,88,514
Belgrade,86,643,80,30,86,613
Bucharest,88,597,79,28,89,569
Podgorica,91,267,90,20,91,247
Sarajevo,93,451,90,20,93,431
Skopje,88,338,82,22,89,316
Sofia,74,560,88,26,74,534
Thessaloniki,90,339,85,26,90,313
Tirana,88,396,89,19,88,377
Zagreb,86,593,90,31,85,562
Berlin,82,851,85,26,82,825
Bern,89,387,0,0,89,387
Cologne,89,423,0,0,89,423
Dresden,90,273,0,0,90,273
